id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1376906056824016911,1376906056824016911,2021-03-30 20:21:00 +0545,2021-03-30,20:21:00,+0545,74679662,nepalitimes,Nepali Times,,"Neglected for decades, #Nepal's Far-West is finally poised to take a big leap in socio-economic transformation as #federalism devolves power and resources to the province   https://t.co/illAre5PbQ",en,[],['https://www.nepalitimes.com/banner/the-sun-rises-in-nepals-far-west/'],[],0,6,26,"['nepal', 'federalism']",[],https://twitter.com/NepaliTimes/status/1376906056824016911,False,,0,,,,,,,,[],,,,
1376875102919258113,1376875102919258113,2021-03-30 18:18:00 +0545,2021-03-30,18:18:00,+0545,74679662,nepalitimes,Nepali Times,,How is it possible for women to feel safe and protected when men continue getting away after committing such acts? How can the country keep its daughters safe?  Anjana Rajbhandary writes in her column 'Life Time'   https://t.co/18P3rs8bjq,en,[],['https://www.nepalitimes.com/opinion/educating-your-sons-will-protect-your-daughters/'],[],1,8,14,[],[],https://twitter.com/NepaliTimes/status/1376875102919258113,False,,0,,,,,,,,[],,,,
1376843645316304902,1376843645316304902,2021-03-30 16:13:00 +0545,2021-03-30,16:13:00,+0545,74679662,nepalitimes,Nepali Times,,"“Every goal requires teamwork, positive thinking and an appetite for a win, Nepal did perform well in the end.”  - Nepal’s ‘Goal Machine’ Sabitra Bhandari   https://t.co/Kqab2rjdJp",en,[],['https://www.nepalitimes.com/latest/female-footballers-take-on-nepals-win'],[],0,5,30,[],[],https://twitter.com/NepaliTimes/status/1376843645316304902,False,,0,,,,,,,,[],,,,
1376810929963196416,1376810929963196416,2021-03-30 14:03:00 +0545,2021-03-30,14:03:00,+0545,74679662,nepalitimes,Nepali Times,,"#editorial In a remote part of #Nepal, local elected leaders are delivering basic services. Their voters seem to have noticed.   https://t.co/jpWyGdyDcp",en,[],['https://www.nepalitimes.com/editorial/devolution-for-development/'],[],0,3,10,"['editorial', 'nepal']",[],https://twitter.com/NepaliTimes/status/1376810929963196416,False,,0,,,,,,,,[],,,,
1376782744001253378,1376782744001253378,2021-03-30 12:11:00 +0545,2021-03-30,12:11:00,+0545,74679662,nepalitimes,Nepali Times,,Nepali migrant workers have been waiting for more than a year to join jobs in #Korea.  Delayed dreams for Korea-bound Nepalis - Upasana Khadka  https://t.co/9KPYemZ2YB,en,[],['https://www.nepalitimes.com/here-now/delayed-dreams-for-korea-bound-nepalis'],[],0,1,8,['korea'],[],https://twitter.com/NepaliTimes/status/1376782744001253378,False,,0,,,,,,,,[],,,,
1376750865264996354,1376750865264996354,2021-03-30 10:04:19 +0545,2021-03-30,10:04:19,+0545,74679662,nepalitimes,Nepali Times,,"Nepal relaxes entry for tourists  No quarantine and visa on arrival now, but conditions apply.   https://t.co/xiB2Qc8vs8",en,[],['https://www.nepalitimes.com/latest/nepal-relaxes-entry-for-tourists/'],[],0,8,25,[],[],https://twitter.com/NepaliTimes/status/1376750865264996354,False,,0,,,,,,,,[],,,,
1376725414689665026,1376725414689665026,2021-03-30 08:23:11 +0545,2021-03-30,08:23:11,+0545,74679662,nepalitimes,Nepali Times,,"Months after testing negative, many survivors still suffer from fatigue, shortness in breathing, joint pains, headaches, prolonged cough, chest pain, loss of appetite and brain fog.  Had Covid? Beware of Long Covid - @Sajana_B    https://t.co/lsCvzGGQw4",en,"[{'screen_name': 'sajana_b', 'name': 'sajanaa baral', 'id': '1970632520'}]",['https://www.nepalitimes.com/banner/had-covid-beware-of-long-covid/'],[],0,2,9,[],[],https://twitter.com/NepaliTimes/status/1376725414689665026,False,,0,,,,,,,,[],,,,
1376525443520552960,1376525443520552960,2021-03-29 19:08:34 +0545,2021-03-29,19:08:34,+0545,74679662,nepalitimes,Nepali Times,,"Nepali Times interviewed UML party spokesperson, foreign minister, and K P Oli loyalist Pradeep Gyawali (@PradeepgyawaliK), to talk about Prime Minister’s moves to get the party back on track.  https://t.co/I5HI2xYtZt",en,"[{'screen_name': 'pradeepgyawalik', 'name': 'pradeep gyawali', 'id': '3249638810'}]",['https://www.nepalitimes.com/latest/unity-with-the-maoists-did-not-work-out/'],[],1,6,53,[],[],https://twitter.com/NepaliTimes/status/1376525443520552960,False,,0,,,,,,,,[],,,,
1376494825885683722,1376494825885683722,2021-03-29 17:06:55 +0545,2021-03-29,17:06:55,+0545,74679662,nepalitimes,Nepali Times,,"As a matter of scientific inquiry,  The Ass carefully explores some possible reasons why #Nepalis continue to be so cheerful these days.   https://t.co/rlabahib5d",en,[],['https://www.nepalitimes.com/opinion/happy-go-lucky-nepal/'],[],0,0,8,['nepalis'],[],https://twitter.com/NepaliTimes/status/1376494825885683722,False,,0,,,,,,,,[],,,,
1376464648023707650,1376464648023707650,2021-03-29 15:07:00 +0545,2021-03-29,15:07:00,+0545,74679662,nepalitimes,Nepali Times,,"#Wildfires are spreading across the Tarai and mid-mountains of #Nepal, shrouding the whole country in smoke. People complain of stinging eyes, headaches and breathing difficulties.  https://t.co/UCfe6ltsI9",en,[],[],[],12,135,245,"['wildfires', 'nepal']",[],https://twitter.com/NepaliTimes/status/1376464648023707650,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1376448679721066496/pu/img/2SKzDjC39eFVo-MB.jpg,,,,,,,[],,,,
1376434290464976896,1376434290464976896,2021-03-29 13:06:22 +0545,2021-03-29,13:06:22,+0545,74679662,nepalitimes,Nepali Times,,#Nepal’s civil rights activists call on the government and the international community to take a stand against the ongoing killings of pro-democracy protesters by the military #junta in #Burma. By Pratibha Tuladhar (@prateeish)  https://t.co/x22o4iqRGC,en,"[{'screen_name': 'prateeish', 'name': 'prateebha', 'id': '40400279'}]",['https://www.nepalitimes.com/banner/nepalis-show-solidarity-with-burma-protesters/'],[],0,9,41,"['nepal', 'junta', 'burma']",[],https://twitter.com/NepaliTimes/status/1376434290464976896,False,,0,,,,,,,,[],,,,
1376404429780381701,1376404429780381701,2021-03-29 11:07:43 +0545,2021-03-29,11:07:43,+0545,74679662,nepalitimes,Nepali Times,,Sravasti Ghosh Dastidar’s photographic exhibition ‘Soul in Shades’ compels us to see soaring human-made structures and nature’s grandeur in a new light.  https://t.co/fGUFRZm8i2,en,[],['https://www.nepalitimes.com/banner/playing-with-symmetry-and-shadow/'],[],0,0,5,[],[],https://twitter.com/NepaliTimes/status/1376404429780381701,False,,0,,,,,,,,[],,,,
